site,name,day,total rainfall (mm),latitude,longitude
TA00248,Osudoku SHTS, Asutsuare,2018-05-16,0.98,6.0756705,0.1962613
TA00248,Osudoku SHTS, Asutsuare,2018-05-17,6.67,6.0756705,0.1962613
TA00248,Osudoku SHTS, Asutsuare,2018-05-18,0.1,6.0756705,0.1962613
TA00248,Osudoku SHTS, Asutsuare,2018-05-19,0,6.0756705,0.1962613
TA00249,St. Peter s R/C JHS/ St. John s R/C JHS, Tuna,2018-05-15,0.61,9.4941781,-2.4347746
TA00249,St. Peter s R/C JHS/ St. John s R/C JHS, Tuna,2018-05-16,0.07,9.4941781,-2.4347746
TA00249,St. Peter s R/C JHS/ St. John s R/C JHS, Tuna,2018-05-17,3,9.4941781,-2.4347746
TA00249,St. Peter s R/C JHS/ St. John s R/C JHS, Tuna,2018-05-18,0.58,9.4941781,-2.4347746
TA00249,St. Peter s R/C JHS/ St. John s R/C JHS, Tuna,2018-05-19,0.05,9.4941781,-2.4347746
TA00251,Daffiama SHS, Daffiama,2018-05-15,0,10.4249548,-2.55448
TA00251,Daffiama SHS, Daffiama,2018-05-16,0,10.4249548,-2.55448
TA00251,Daffiama SHS, Daffiama,2018-05-17,0,10.4249548,-2.55448
TA00251,Daffiama SHS, Daffiama,2018-05-18,0,10.4249548,-2.55448
TA00251,Daffiama SHS, Daffiama,2018-05-19,0,10.4249548,-2.55448
TA00253,Han SHS, Han,2018-05-15,0,10.6704061,-2.4647696
TA00253,Han SHS, Han,2018-05-16,0,10.6704061,-2.4647696
TA00253,Han SHS, Han,2018-05-17,20.16,10.6704061,-2.4647696
TA00253,Han SHS, Han,2018-05-18,0.1,10.6704061,-2.4647696
TA00253,Han SHS, Han,2018-05-19,0,10.6704061,-2.4647696
TA00254,Bongo SHS, Bongo,2018-05-15,0,10.9132026,-0.8101152
TA00254,Bongo SHS, Bongo,2018-05-16,0.63,10.9132026,-0.8101152
TA00254,Bongo SHS, Bongo,2018-05-17,2.11,10.9132026,-0.8101152
TA00254,Bongo SHS, Bongo,2018-05-18,0.04,10.9132026,-0.8101152
TA00254,Bongo SHS, Bongo,2018-05-19,0,10.9132026,-0.8101152
